Análises gráficas;BI 
Analise e-comerce;https://app.powerbi.com/view?r=eyJrIjoiN2Q5ZWI2YWEtMGI0NC00OTA2LThhZjYtZjk3NmIxMjA0YTU0IiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9&pageName=a5ac8b208bd2ea5777a4
Comissões representante;https://app.powerbi.com/view?r=eyJrIjoiYjljMmIzMjktMWRhYi00MzI4LWJjNjgtYTdjZTJjMDgyYzkxIiwidCI6Ijc0MTkwYjM3LTgyOTgtNGRmMS1hZGYxLTMyMjNlMjEwYWU3OSJ9
Comissões influencers;https://app.powerbi.com/view?r=eyJrIjoiZDY0MDFjMjAtZGUzOS00MjgyLWEzNTctODkxMDJkODJhMmRiIiwidCI6Ijc0MTkwYjM3LTgyOTgtNGRmMS1hZGYxLTMyMjNlMjEwYWU3OSJ9&pageName=ReportSection470598b273719767cc9a
Resumo comissão influencers;https://app.powerbi.com/view?r=eyJrIjoiNmRlMmRhMTAtNWVkZS00NjdhLWFhZWQtOThkMzFmODFjNWQzIiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9&pageName=4bbada1e2e7e29474d88
Dados Sibionics - e commerce;https://app.powerbi.com/view?r=eyJrIjoiN2Q5ZWI2YWEtMGI0NC00OTA2LThhZjYtZjk3NmIxMjA0YTU0IiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9
Atendimento Sibionics;https://app.powerbi.com/view?r=eyJrIjoiMWY1YWFiNzgtM2U1Zi00NmJjLWIxNTUtNWNhNTA1ZGRjYzhjIiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9
Estoque Gerencial;https://app.powerbi.com/view?r=eyJrIjoiYmZmMDNhZDItOThmZC00ZjE3LWI3ZGQtOTc5YzBhNDZhNzU5IiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9
Estoque comercial;https://app.powerbi.com/view?r=eyJrIjoiZjViMGVkYzYtYmM0Zi00MzUyLWIxYzItZWU0ZTJkMmI1YzY5IiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9
Sugestão de compra;https://app.powerbi.com/view?r=eyJrIjoiODk2NDIxZjEtNTMyMS00OTAwLWE5MTAtNWFiN2E0NDJjZDQyIiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9
Analise financeira;https://app.powerbi.com/view?r=eyJrIjoiODNjODVkZGQtZGJmMS00NjI3LWJlYzItZmZjZGZiYmZjMTNkIiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9
Painel faturamento;https://app.powerbi.com/view?r=eyJrIjoiYmRjMmIwMzktY2NkMS00MDkyLWFlZDYtNDQ1ODdhODMxNTlkIiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9
Painel Licitação meta;https://app.powerbi.com/view?r=eyJrIjoiNGYxZDcyMjctM2MzZi00ZGYyLThlODYtMDAwY2IwYmEzYzQ5IiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9
Controle bhz;https://app.powerbi.com/view?r=eyJrIjoiZjFiNTJmYmYtOWJkMS00OTA3LWJkMWQtYWE2ODdlMmJhZjFkIiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9
Pedidos sibionics;https://app.powerbi.com/view?r=eyJrIjoiY2IwMDk3NWEtZTI1Zi00OTEwLWIyNTAtYTUzNzQ2MTQwNDMxIiwidCI6IjY1ZWVhYTdhLTg0NmEtNGRlMS1hNTE5LTUzNTRiMzM0OWQ5NCJ9
